"","Донцова 2002 Букет прекрасных дам","Донцова 1999 Дама с коготками","Донцова 2008 Инь, янь и всякая дрянь","Донцова 2012 Клеопатра с парашютом","Донцова 2001 Созвездие жадных псов","Донцова 2003 Микстура от косоглазия","Донцова 2000 Бассейн с крокодилами","Донцова 2000 Спят усталые игрушки","Донцова 2005 Муха в самолёте","Донцова 2006 Безумная кепка Мономаха","Донцова 2007 Зимнее лето весны","Донцова 2017 Астральное тело холостяка","Донцова 2009 Император деревни Гадюкино","Донцова 2010 Страстная ночь в зоопарке","Донцова 2022 Бегемот под майонезом","Донцова 2015 Шуры муры с призраком","Донцова 2011 Тормоза для блудного мужа","Донцова 2019 Бинокль для всевидящего ока","Донцова 2014 Самовар с шампанским","Донцова 2019 Гиблое место в ипотеку","Маринина 2013 Оборванные нити. Том 3","Маринина 2007 Всё не так","Маринина 1995 Смерть ради смерти","Маринина 2000 Седьмая жертва","Маринина 2021 Отдалённые последствия. Том 1","Полякова 2008 Испанская легенда","Полякова 1999 Капкан на спонсора","Полякова 2001 Неопознанный ходячий объект","Полякова 2020 Четыре всадника раздора","Полякова 2012 Я смотрю на тебя издали","Трауб 2012 Замочная скважина","Трауб 2010 Плохая мать","Трауб 2021 Посмотри на меня","Трауб 2016 Продаётся дом с дедушкой","Трауб 2006 Собирайся, мы уезжаем","Устинова 2003 Близкие люди","Устинова 2021 Девчонки, я приехал","Устинова 2008 Жизнь, по слухам, одна!","Устинова 2012 Один день, одна ночь","Устинова 1999 Персональный ангел"
"Донцова 2007 Зимнее лето весны",0.789382135062496,0.86825433281421,0.600369579583741,0.723139652384696,0.755730098203092,0.707500477524455,0.900550502913585,0.862460820729157,0.558167832827306,0.641872026121319,0,0.831855541954499,0.619753053788539,0.755642494414126,0.915082219793792,0.818345292263633,0.880032355878737,0.880598877295899,0.824561739689929,0.918164429757563,1.28930538035202,1.45477156961107,1.30446348037485,1.33308916380907,1.24224789295332,1.35393253092925,1.05059906970806,1.15990114393166,1.23925111382937,1.13679820511316,1.38468628074683,1.30293274419729,1.60533959073711,1.51569823444657,1.29304018403699,1.39014868939357,1.15040587334735,1.44576064599256,1.28888398798805,1.46598633347286
"Донцова 2017 Астральное тело холостяка",0.790707327822094,0.819160217700071,0.695334300302414,0.688999725623786,0.842476631976794,0.845206971099079,0.932782940859974,0.867825443453067,0.84631098507101,0.802583779547877,0.831855541954499,0,0.757694042451565,0.769252954821701,0.75846217016438,0.710455633510902,0.769659772401139,0.731959167875325,0.770614104005499,0.661108396204458,1.10440844513909,1.38769509746712,1.09749276603798,1.09662535913213,1.1039002815512,1.15547160570626,1.15900340281781,1.08137244592409,1.09685763622337,1.13840083540607,1.26123102910147,1.06960495956793,1.43052880304407,1.43618221263466,1.16244331090007,1.3065783112133,1.06358389874338,1.29395794335865,1.08962643549346,1.26031080126424
"Донцова 2009 Император деревни Гадюкино",0.798356651677452,0.893507983097301,0.561580731318433,0.495295258116643,0.855169076692796,0.955069808217717,0.945110364238477,0.82191552417693,0.711629093662386,0.682986922259572,0.619753053788539,0.757694042451565,0,0.561404005034536,0.841175086522325,0.708107043946489,0.580782232504326,0.809550171267506,0.698530571351988,0.857329125248551,1.15832658729932,1.46468443164589,1.19303295246097,1.25976269962821,1.18032937966614,1.28587536409629,1.13513923695359,1.12895609317048,1.20330043045214,1.0554809890431,1.18610104059629,1.20359742842508,1.47397424956506,1.5219941585687,1.24601019001991,1.33628353964067,1.13808523382269,1.38100369314597,1.29764926090111,1.29869252218533
"Донцова 2010 Страстная ночь в зоопарке",0.850852024065076,0.969987522395275,0.640664307138591,0.603745130701888,0.876803591638413,0.968583371840233,0.939206238188844,0.881776537015416,0.746292085838095,0.741391042449217,0.755642494414126,0.769252954821701,0.561404005034536,0,0.710744673499999,0.740265944065542,0.636428266847069,0.741096253571572,0.662730173888071,0.778077316388875,1.12275072204274,1.47337853060602,1.15609217940839,1.20008107454898,1.15949940883368,1.32868987979224,1.19606435283267,1.19268233793813,1.22201943422329,1.10736732385603,1.20990643990194,1.10971662545834,1.38916824942061,1.43825300690578,1.23485828982322,1.30470448171856,1.11834836236825,1.35894334045691,1.28248981115079,1.25856250859207
"Донцова 2022 Бегемот под майонезом",0.863345578144871,0.924872418317533,0.78955640519311,0.790766475523091,1.00335282779512,0.9109785004008,1.07745779614614,0.989426303301482,0.91589947922792,0.955009308006345,0.915082219793792,0.75846217016438,0.841175086522325,0.710744673499999,0,0.651884620137441,0.858605222341431,0.754266913398925,0.748100343752657,0.586649402845457,1.12913798171163,1.34936488566738,1.14588656262221,1.21506209144609,1.22824623588194,1.21900474397783,1.14182948297604,1.31491777300278,1.18248355756582,1.17060327501736,1.37374782615739,1.20293722603517,1.45250825771404,1.50994069985471,1.3826414412797,1.37125139330502,1.20181722866963,1.45753106248593,1.35990871388049,1.32618251055552
"Донцова 2015 Шуры муры с призраком",0.909554694660839,1.03640631691447,0.697015314943184,0.66806731431,0.980149716941149,0.8660808068941,1.10735990693578,0.99284323715646,0.877622865010508,0.856499394065206,0.818345292263633,0.710455633510902,0.708107043946489,0.740265944065542,0.651884620137441,0,0.69468148877067,0.639500647658619,0.599617375875251,0.63120448111228,1.25028913962684,1.43312470576991,1.16312073158318,1.23767460193015,1.184222288684,1.42489104007405,1.19725216489965,1.20283386240311,1.23877283730018,1.20356718165547,1.27108419393931,1.13387898299385,1.60307668738168,1.44999120050402,1.27920796810592,1.3671068848316,1.12867329179481,1.38037768076806,1.31742066343375,1.29914822554708
"Донцова 2011 Тормоза для блудного мужа",0.835603954164116,0.966059157929931,0.675705645024325,0.581792021418939,0.989410301005468,0.97489494040775,0.979437847476496,0.835757441765977,0.88937344010925,0.840087222031534,0.880032355878737,0.769659772401139,0.580782232504326,0.636428266847069,0.858605222341431,0.69468148877067,0,0.826512787277316,0.642672265336075,0.734518146856505,1.22187414328991,1.50260176691083,1.26890487386643,1.25928682383375,1.20799959932773,1.41763953278013,1.31812131294612,1.24857952256795,1.19852174275442,1.19624930718441,1.23385929069589,1.13370150772209,1.40282369065424,1.49718671079705,1.24840276568259,1.42846048691507,1.20895773472646,1.41789760520022,1.29770740592918,1.31535777577932
"Донцова 2019 Бинокль для всевидящего ока",0.896506401906739,1.04818112913702,0.716839064388204,0.75595368809418,0.970834435064197,0.84937956031549,1.01896602361642,0.955253632174716,0.956309358244664,0.894097358705838,0.880598877295899,0.731959167875325,0.809550171267506,0.741096253571572,0.754266913398925,0.639500647658619,0.826512787277316,0,0.625961290392813,0.659523115285773,1.21303622134485,1.47745665297095,1.22133586861762,1.23262172906572,1.19053608858412,1.43320682635257,1.19968557956485,1.23172872437224,1.24041605237734,1.19221373993658,1.32362196799006,1.28673693035552,1.56504110732146,1.55133463936445,1.28664598747516,1.35641781207088,1.17707066585519,1.38870448850696,1.27731181542182,1.2949080080885
"Донцова 2014 Самовар с шампанским",0.913582640401209,1.06258494800624,0.684861266091393,0.619552874004438,1.04829251781151,0.897128120346396,1.14657585846409,1.00959324043178,0.922184620331916,0.869926279089082,0.824561739689929,0.770614104005499,0.698530571351988,0.662730173888071,0.748100343752657,0.599617375875251,0.642672265336075,0.625961290392813,0,0.744116185173101,1.26846220835728,1.50751618649275,1.23832567428501,1.27221878625009,1.25972347605338,1.42320167458979,1.2634479397117,1.2883435654462,1.21589891777302,1.20674305001418,1.31655861551503,1.28402279247682,1.59267550282282,1.48652521846913,1.38255727401341,1.44708015747789,1.27106174061952,1.47428376667755,1.35242438979629,1.32854834445073
"Донцова 2019 Гиблое место в ипотеку",0.848709200219629,0.978074463266741,0.7215208180937,0.727172486495168,0.958332658600176,0.827308487070416,1.01831985503111,0.962645540864651,0.956544820558527,0.94338450921773,0.918164429757563,0.661108396204458,0.857329125248551,0.778077316388875,0.586649402845457,0.63120448111228,0.734518146856505,0.659523115285773,0.744116185173101,0,1.15200128533634,1.34800166328147,1.07132565197977,1.01969859100504,1.13909173989173,1.25297563218722,1.09178101876032,1.15620592205432,1.05093101674703,1.06498503670733,1.26983041161486,1.11051433697791,1.45502044243177,1.50642373788527,1.19676807116545,1.31891623172879,1.15752707162243,1.33065418594511,1.15236990707973,1.27334196035596
