"","Донцова 2002 Букет прекрасных дам","Донцова 1999 Дама с коготками","Донцова 2008 Инь, янь и всякая дрянь","Донцова 2012 Клеопатра с парашютом","Донцова 2001 Созвездие жадных псов","Донцова 2003 Микстура от косоглазия","Донцова 2000 Бассейн с крокодилами","Донцова 2000 Спят усталые игрушки","Донцова 2005 Муха в самолёте","Донцова 2006 Безумная кепка Мономаха","Донцова 2007 Зимнее лето весны","Донцова 2017 Астральное тело холостяка","Донцова 2009 Император деревни Гадюкино","Донцова 2010 Страстная ночь в зоопарке","Донцова 2022 Бегемот под майонезом","Донцова 2015 Шуры муры с призраком","Донцова 2011 Тормоза для блудного мужа","Донцова 2019 Бинокль для всевидящего ока","Донцова 2014 Самовар с шампанским","Донцова 2019 Гиблое место в ипотеку","Маринина 2013 Оборванные нити. Том 3","Маринина 2007 Всё не так","Маринина 1995 Смерть ради смерти","Маринина 2000 Седьмая жертва","Маринина 2021 Отдалённые последствия. Том 1","Полякова 2008 Испанская легенда","Полякова 1999 Капкан на спонсора","Полякова 2001 Неопознанный ходячий объект","Полякова 2020 Четыре всадника раздора","Полякова 2012 Я смотрю на тебя издали","Трауб 2012 Замочная скважина","Трауб 2010 Плохая мать","Трауб 2021 Посмотри на меня","Трауб 2016 Продаётся дом с дедушкой","Трауб 2006 Собирайся, мы уезжаем","Устинова 2003 Близкие люди","Устинова 2021 Девчонки, я приехал","Устинова 2008 Жизнь, по слухам, одна!","Устинова 2012 Один день, одна ночь","Устинова 1999 Персональный ангел"
"Донцова 2007 Зимнее лето весны",0.676336325890833,0.8812465074079,0.47273792074669,0.610047498268139,0.670093414003373,0.637744411038987,0.827765734235628,0.764493768918631,0.495189394830824,0.597504116925992,0,0.730600584626817,0.612713056058472,0.579916071576234,0.825740821386115,0.720756409691966,0.763589864637164,0.815648260409885,0.700873270720249,0.834632179779916,1.21549708616614,1.4221080781451,1.2244305694242,1.15839391951192,1.1583140900796,1.27246372137886,1.05560958147625,1.22216099835259,1.19841156060466,1.08458960518435,1.39158314246261,1.17927661109772,1.48889265951717,1.29582478126364,1.1963563978553,1.38352627580104,1.14145801385679,1.44875261661919,1.37122838407326,1.39934030331552
"Донцова 2017 Астральное тело холостяка",0.682869759988872,0.835796280473152,0.596946732138661,0.685044406381421,0.759570595963954,0.797872046697757,0.863088965003874,0.881198379273986,0.759847309692556,0.766090480672841,0.730600584626817,0,0.68258713110839,0.728548120273243,0.605749100977523,0.517136311288703,0.697150739157831,0.583562310870377,0.580932075930126,0.550490739057287,1.1586888362638,1.47749774182718,1.08479908853808,1.11276919564955,1.19136278056854,1.18119115033914,1.06475027831319,1.21240931575565,1.06137135567996,1.05642611626325,1.36631250978208,1.17134367576761,1.48385850797524,1.48345485417764,1.21093180784251,1.38338384876028,1.0924076040061,1.46988713120708,1.2655448970797,1.34609949530229
"Донцова 2009 Император деревни Гадюкино",0.744276074638256,0.782775979896014,0.506233791281699,0.482379190033098,0.73466574794399,0.833397068255137,0.798435261185881,0.74836098935436,0.628891719737897,0.717922326037933,0.612713056058472,0.68258713110839,0,0.447486434174067,0.771860696530811,0.62064403510614,0.58778141991855,0.69190712434228,0.559870225861994,0.787499516241271,1.18519293404071,1.50272323375113,1.19519267090679,1.1439881386016,1.14527117397492,1.27972157334911,1.08252949055954,1.16419743187302,1.27536441664532,1.01303638227817,1.30721933836623,1.21485960553446,1.42255108286944,1.48562295509654,1.23856870670396,1.3803834134184,1.14924877386881,1.57802643914495,1.38601409195183,1.26523205117464
"Донцова 2010 Страстная ночь в зоопарке",0.838999147309248,0.895174152282391,0.533270777364701,0.480227038844347,0.827676865038778,0.873234438104306,0.881151266374525,0.855689255691766,0.637651825781453,0.715530343771718,0.579916071576234,0.728548120273243,0.447486434174067,0,0.725652740312717,0.613908754564335,0.58426922255492,0.68704699104227,0.536271821282429,0.733162381678315,1.23489832216404,1.4822553495342,1.20202624687084,1.14470157871194,1.19682913535683,1.30004744305136,1.12781533566677,1.25998111958023,1.24054019564723,1.07309885395268,1.27536215024447,1.14820632861047,1.43569072845542,1.42237823347246,1.20453911398404,1.36450335424057,1.17537559823963,1.51451360130138,1.38218770168413,1.27614484012125
"Донцова 2022 Бегемот под майонезом",0.901293194747247,1.04497281022912,0.803345366818828,0.74922024527234,0.96204377396554,1.00056297241155,1.07483350077675,1.01449139420718,0.862416495047214,0.919671768121407,0.825740821386115,0.605749100977523,0.771860696530811,0.725652740312717,0,0.579871573484267,0.777982637826571,0.633386912286796,0.619818534858656,0.586380960735974,1.15124971582532,1.42489709985436,1.16468534802787,1.18724729171544,1.27795525804279,1.28621465669096,1.16711490560162,1.38610659476584,1.20115899853244,1.16699095972346,1.48641185944991,1.29178364219346,1.50633193111379,1.59728336259826,1.42079073733708,1.45436511884701,1.25450049258718,1.6101005041883,1.48170579741083,1.40884692553925
"Донцова 2015 Шуры муры с призраком",0.823159319416964,0.990073328386943,0.621903316704672,0.651037630308071,0.851816952051103,0.862553235190728,1.01779096354364,1.00999927417618,0.771295860688388,0.822873927679125,0.720756409691966,0.517136311288703,0.62064403510614,0.613908754564335,0.579871573484267,0,0.588155210803926,0.5212195348337,0.452367852827513,0.537087366614835,1.20697456674534,1.52209517771445,1.09664622088339,1.17756977359709,1.26739077375836,1.37680192784396,1.22238914335909,1.24081657568917,1.1840781549843,1.15580736480211,1.36257789549311,1.16130395333956,1.53127340590687,1.42632338293251,1.3148177617719,1.39652840902495,1.19828071648444,1.52413739124204,1.36361330771785,1.36008353210955
"Донцова 2011 Тормоза для блудного мужа",0.888039533453227,1.00253844079165,0.649410744149222,0.540691307398543,0.927380237275879,0.864624778628056,1.03077866884438,0.942644568387871,0.812603942626771,0.82564997053102,0.763589864637164,0.697150739157831,0.58778141991855,0.58426922255492,0.777982637826571,0.588155210803926,0,0.766147794041077,0.510704675202424,0.638082344617731,1.34527521319581,1.53333032969402,1.27164915081081,1.25988503050942,1.35474379253024,1.4671382604498,1.2757949631575,1.37371762912246,1.18463798152853,1.18239354477889,1.2971802903078,1.16732029907278,1.55076274019331,1.63737928689761,1.26786649742384,1.47538769414432,1.31310633074659,1.62559928862529,1.43606814967647,1.39220247838155
"Донцова 2019 Бинокль для всевидящего ока",0.871239492753918,1.04351192305149,0.644542410346128,0.717462219862643,0.888501405949008,0.823127351495265,0.991931572310062,0.980446024664811,0.823643413582126,0.837085624480187,0.815648260409885,0.583562310870377,0.69190712434228,0.68704699104227,0.633386912286796,0.5212195348337,0.766147794041077,0,0.562875391433426,0.542059145985559,1.2093451387121,1.47642515426909,1.11352105377077,1.14810013868953,1.21618139318291,1.39937908438848,1.16486725541023,1.18655739405559,1.15005557004093,1.07297338670825,1.37519503103114,1.23873312705735,1.53864880238959,1.51982563932123,1.30058528255432,1.41065190684682,1.19932656624096,1.49290920886776,1.31453781250866,1.3622046306736
"Донцова 2014 Самовар с шампанским",0.804316764253718,0.979041073035573,0.621288184405963,0.514830501329552,0.829864231790015,0.841358903605623,0.994351811045519,0.947143465271694,0.73166842301127,0.817072357339724,0.700873270720249,0.580932075930126,0.559870225861994,0.536271821282429,0.619818534858656,0.452367852827513,0.510704675202424,0.562875391433426,0,0.549859535838843,1.23255805711189,1.47851916638944,1.12218720551328,1.18530026697797,1.25232012356454,1.34620545836206,1.16642119690311,1.25620228173549,1.15618521339424,1.08366289743239,1.32963903422514,1.18904594557686,1.46778403019283,1.51590406877976,1.28071217496474,1.36315341251344,1.20134705879008,1.52664872049551,1.32925829294762,1.29136425829655
"Донцова 2019 Гиблое место в ипотеку",0.850186113396699,1.03764937597565,0.6953877503402,0.725184888560164,0.924464492603072,0.854226043183089,1.02992624456237,1.0791688365188,0.865774236612101,0.84853584632939,0.834632179779916,0.550490739057287,0.787499516241271,0.733162381678315,0.586380960735974,0.537087366614835,0.638082344617731,0.542059145985559,0.549859535838843,0,1.23753420219891,1.4157862342626,1.11816723069714,1.09564323615752,1.22621618532317,1.29439491593322,1.14815304470063,1.24627047187104,1.03188611719236,1.08962673227213,1.32491710337221,1.0971586087081,1.48124887256981,1.48086921617949,1.19360771528344,1.38875495298722,1.20634883975575,1.45320077103925,1.27000132167569,1.28200092378476
