id,series_code,серия,название,год,имя_файла,путь_исходник,путь_clean,слова_clean,токены_clean,строки_clean,символы_clean,токены_исходник,доля_токенов_сохранено,короткий_текст,для_сравнения,повреждена_очисткой
viola_008,ВТ,Виола Тараканова,Филе из Золотого Петушка,2004,ВТ_Филе из Золотого Петушка.txt,txt ВиолаТараканова/08 Филе из Золотого Петушка.txt,viola/ВТ_Филе из Золотого Петушка.txt,39287,36987,4112,247535,77946,0.475,,да,
dasha_013,ДВ,Даша Васильева,Хобби гадкого утенка,2001,ДВ_Хобби гадкого утенка.txt,txt ДашаВасильева/12 Хобби гадкого утенка.txt,dasha/ДВ_Хобби гадкого утенка.txt,39282,36987,3886,251205,70716,0.523,,да,
dasha_049,ДВ,Даша Васильева,Аполлон на миллион,2015,ДВ_Аполлон на миллион.txt,txt ДашаВасильева/48 Аполлон на миллион.txt,dasha/ДВ_Аполлон на миллион.txt,39449,36988,4608,249433,63399,0.583,,да,
podushkin_010,ИП,Иван Подушкин,Сафари на черепашку,2005,ИП_Сафари на черепашку.txt,txt ИванПодушкин/10 Сафари на черепашку.txt,podushkin/ИП_Сафари на черепашку.txt,39515,36988,3935,249346,74879,0.494,,да,
viola_005,ВТ,Виола Тараканова,Чудеса в кастрюльке,2002,ВТ_Чудеса в кастрюльке.txt,txt ВиолаТараканова/05 Чудеса в кастрюльке.txt,viola/ВТ_Чудеса в кастрюльке.txt,39282,36988,4190,250401,70377,0.526,,да,
dasha_006,ДВ,Даша Васильева,Эта горькая сладкая месть,2000,ДВ_Эта горькая сладкая месть.txt,txt ДашаВасильева/05 Эта горькая сладкая месть.txt,dasha/ДВ_Эта горькая сладкая месть.txt,38676,36988,4158,256163,78542,0.471,,да,
podushkin_011,ИП,Иван Подушкин,Яблоко Монте-Кристо,2006,ИП_Яблоко Монте-Кристо.txt,txt ИванПодушкин/11 Яблоко Монте-Кристо.txt,podushkin/ИП_Яблоко Монте-Кристо.txt,39554,36988,4255,250277,66367,0.557,,да,
sergeeva_020,ТС,Татьяна Сергеева,Бермудский треугольник черной вдовы,2015,ТС_Бермудский треугольник черной вдовы.txt,txt ТатьянаСергеева/19 Бермудский треугольник черной вдовы.txt,sergeeva/ТС_Бермудский треугольник черной вдовы.txt,38827,36989,3925,247008,70314,0.526,,да,
dasha_072,ДВ,Даша Васильева,Блоха на балу,2024,ДВ_Блоха на балу.txt,txt ДашаВасильева/71 Блоха на балу.txt,dasha/ДВ_Блоха на балу.txt,39429,36989,4755,247792,43842,0.844,,да,
sergeeva_039,ТС,Татьяна Сергеева,Бумеранг с автопилотом,2025,ТС_Бумеранг с автопилотом.txt,txt ТатьянаСергеева/38. Бумеранг с автопилотом.txt,sergeeva/ТС_Бумеранг с автопилотом.txt,39087,36989,4484,247162,45928,0.805,,да,
kozlova_014,СК,Степанида Козлова,Вредная волшебная палочка,2019,СК_Вредная волшебная палочка.txt,txt СтепанидаКозлова/14 Вредная волшебная палочка.txt,kozlova/СК_Вредная волшебная палочка.txt,39218,36989,4490,245615,50753,0.729,,да,
viola_054,ВТ,Виола Тараканова,Дезертир из рая,2024,ВТ_Дезертир из рая.txt,txt ВиолаТараканова/54 Дезертир из рая.txt,viola/ВТ_Дезертир из рая.txt,39483,36989,5008,246401,39438,0.938,,да,
dasha_028,ДВ,Даша Васильева,Досье на Крошку Че,2006,ДВ_Досье на Крошку Че.txt,txt ДашаВасильева/27 Досье на Крошку Че.txt,dasha/ДВ_Досье на Крошку Че.txt,39541,36989,4221,249924,77344,0.478,,да,
evlampia_030,ЕР,Евлампия Романова,Королева без башни,2010,ЕР_Королева без башни.txt,txt ЕвлампияРоманова/30 Королева без башни.txt,evlampia/ЕР_Королева без башни.txt,39530,36989,4831,251603,73191,0.505,,да,
viola_024,ВТ,Виола Тараканова,Летучий самозванец,2009,ВТ_Летучий самозванец.txt,txt ВиолаТараканова/24 Летучий самозванец.txt,viola/ВТ_Летучий самозванец.txt,40123,36989,4526,255713,69037,0.536,,да,
sergeeva_023,ТС,Татьяна Сергеева,Львиная доля серой мышки,2017,ТС_Львиная доля серой мышки.txt,txt ТатьянаСергеева/22 Львиная доля серой мышки.txt,sergeeva/ТС_Львиная доля серой мышки.txt,39395,36989,4269,248646,69610,0.531,,да,
sergeeva_019,ТС,Татьяна Сергеева,Любовное зелье колдуна-болтуна,2015,ТС_Любовное зелье колдуна-болтуна.txt,txt ТатьянаСергеева/18 Любовное зелье колдуна-болтуна.txt,sergeeva/ТС_Любовное зелье колдуна-болтуна.txt,39029,36989,4034,252285,70073,0.528,,да,
evlampia_038,ЕР,Евлампия Романова,Маскарад любовных утех,2015,ЕР_Маскарад любовных утех.txt,txt ЕвлампияРоманова/38 Маскарад любовных утех.txt,evlampia/ЕР_Маскарад любовных утех.txt,39120,36989,4380,250261,65864,0.562,,да,
dasha_042,ДВ,Даша Васильева,Мыльная сказка Шахерезады,2011,ДВ_Мыльная сказка Шахерезады.txt,txt ДашаВасильева/41 Мыльная сказка Шахерезады.txt,dasha/ДВ_Мыльная сказка Шахерезады.txt,39407,36989,4325,252457,68510,0.54,,да,
evlampia_006,ЕР,Евлампия Романова,Созвездие жадных псов,2001,ЕР_Созвездие жадных псов.txt,txt ЕвлампияРоманова/06 Созвездие жадных псов.txt,evlampia/ЕР_Созвездие жадных псов.txt,39581,36989,4124,249618,79413,0.466,,да,
sergeeva_001,ТС,Татьяна Сергеева,Старуха Кристи – отдыхает!,2005,ТС_Старуха Кристи – отдыхает!.txt,txt ТатьянаСергеева/01 Старуха Кристи – отдыхает!.txt,sergeeva/ТС_Старуха Кристи – отдыхает!.txt,39636,36989,3847,250234,83574,0.443,,да,
evlampia_032,ЕР,Евлампия Романова,Черный список деда Мазая,2011,ЕР_Черный список деда Мазая.txt,txt ЕвлампияРоманова/32 Черный список деда Мазая.txt,evlampia/ЕР_Черный список деда Мазая.txt,39066,36989,4226,250580,70828,0.522,,да,
evlampia_020,ЕР,Евлампия Романова,Бутик ежовых рукавиц,2006,ЕР_Бутик ежовых рукавиц.txt,txt ЕвлампияРоманова/20 Бутик ежовых рукавиц.txt,evlampia/ЕР_Бутик ежовых рукавиц.txt,40144,36990,4929,254441,74146,0.499,,да,
viola_038,ВТ,Виола Тараканова,Вставная челюсть Щелкунчика,2016,ВТ_Вставная челюсть Щелкунчика.txt,txt ВиолаТараканова/38 Вставная челюсть Щелкунчика.txt,viola/ВТ_Вставная челюсть Щелкунчика.txt,39238,36990,4325,250445,67564,0.547,,да,
sergeeva_007,ТС,Татьяна Сергеева,Дед Снегур и Морозочка,2009,ТС_Дед Снегур и Морозочка.txt,txt ТатьянаСергеева/06 Дед Снегур и Морозочка.txt,sergeeva/ТС_Дед Снегур и Морозочка.txt,39848,36990,4107,252974,74851,0.494,,да,
viola_017,ВТ,Виола Тараканова,Каникулы в Простофилино,2007,ВТ_Каникулы в Простофилино.txt,txt ВиолаТараканова/17 Каникулы в Простофилино.txt,viola/ВТ_Каникулы в Простофилино.txt,40003,36990,4845,253929,70859,0.522,,да,
viola_046,ВТ,Виола Тараканова,Милашка на вираже,2020,ВТ_Милашка на вираже.txt,txt ВиолаТараканова/46 Милашка на вираже.txt,viola/ВТ_Милашка на вираже.txt,39286,36990,4915,246638,47730,0.775,,да,
sergeeva_036,ТС,Татьяна Сергеева,Пирог от сапожника,2023,ТС_Пирог от сапожника.txt,txt ТатьянаСергеева/35 Пирог от сапожника..txt,sergeeva/ТС_Пирог от сапожника.txt,39367,36990,4689,250665,40061,0.923,,да,
evlampia_043,ЕР,Евлампия Романова,Пряник с черной икрой,2017,ЕР_Пряник с черной икрой.txt,txt ЕвлампияРоманова/43 Пряник с черной икрой.txt,evlampia/ЕР_Пряник с черной икрой.txt,39457,36990,4712,246599,62968,0.587,,да,
podushkin_022,ИП,Иван Подушкин,Астральное тело холостяка,2017,ИП_Астральное тело холостяка.txt,txt ИванПодушкин/22 Астральное тело холостяка.txt,podushkin/ИП_Астральное тело холостяка.txt,39132,36991,4428,242714,66346,0.558,,да,
podushkin_002,ИП,Иван Подушкин,Бриллиант мутной воды,2002,ИП_Бриллиант мутной воды.txt,txt ИванПодушкин/02 Бриллиант мутной воды.txt,podushkin/ИП_Бриллиант мутной воды.txt,39060,36991,3940,249821,72062,0.513,,да,
sergeeva_003,ТС,Татьяна Сергеева,Диета для трех поросят,2008,ТС_Диета для трех поросят.txt,txt ТатьянаСергеева/02 Диета для трех поросят.txt,sergeeva/ТС_Диета для трех поросят.txt,39951,36991,4997,251129,73809,0.501,,да,
