"dontsova__01_Букет_прекрасных_дам" "dontsova__03-Дама-с-коготками" "dontsova__03_Инь,_янь_и_всякая_дрянь" "dontsova__04_Клеопатра_с_парашютом" "dontsova__06_Созвездие_жадных_псов" "dontsova__07_Микстура_от_косоглазия" "dontsova__09-Бассейн-с-крокодилами" "dontsova__10_Спят_усталые_игрушки" "dontsova__13_Муха_в_самолете" "dontsova__18_Безумная_кепка_Мономаха" "dontsova__18_Зимнее_лето_весны" "dontsova__22_Астральное_тело_холостяка" "dontsova__27_Император_деревни_Гадюкино" "dontsova__27_Страстная_ночь_в_зоопарке" "dontsova__32_Бегемот_под_майонезом" "dontsova__39_Шуры-муры_с_призраком" "dontsova__40_Тормоза_для_блудного_мужа" "dontsova__44_Бинокль_для_всевидящего_ока" "dontsova__47-Самовар-с-шампанским" "dontsova__47_Гиблое_место_в_ипотеку" "marinina__03_Оборванные_нити" "marinina__05_Все_не_так" "marinina__05_Смерть_ради_смерти" "marinina__21_Седьмая_жертва" "marinina__35_Отдаленные_последствия._Том_1" "polyakova__Татьяна_Полякова_-_01._Испанская_легенда_(2008)" "polyakova__Татьяна_Полякова_-_01._Капкан_на_спонсора_(1999)" "polyakova__Татьяна_Полякова_-_04._Неопознанный_ходячий_объект_(2001)" "polyakova__Татьяна_Полякова_-_05._Четыре_всадника_раздора_(2020)" "polyakova__Татьяна_Полякова_-_05._Я_смотрю_на_тебя_издали_(2012)" "traub__Маша_Трауб_-_Замочная_скважина_-_2012" "traub__Маша_Трауб_-_Плохая_мать_-_2010" "traub__Маша_Трауб_-_Посмотри_на_меня_-_2021" "traub__Маша_Трауб_-_Продаётся_дом_с_дедушкой_-_2016" "traub__Маша_Трауб_-_Собирайся,_мы_уезжаем_-_2006" "ustinova__Близкие_люди" "ustinova__Девчонки,_я_приехал!" "ustinova__Жизнь,_по_слухам,_одна!" "ustinova__Один_день,_одна_ночь" "ustinova__Персональный_ангел"
"ты" 0.32741617357002 0.256539821976911 0.231536926147705 0.320049959017993 0.301994754827942 0.311377245508982 0.210846901721916 0.191279228637233 0.5620201060714 0.371892738304952 0.379859371211509 0.223354231974922 0.379611688876587 0.428391762301525 0.403353369186966 0.280112044817927 0.337426923529643 0.281925031766201 0.287735283539144 0.317561130517625 0.625357483317445 0.514411074967849 0.688064578128003 0.753166723724752 0.327195251864252 0.734920448770572 0.525297207630633 0.312414574139884 0.450379885642673 0.413820027327738 0.262015564506668 0.698142231688558 0.874400767018217 0.474262579525737 0.825288072251635 0.454597988981778 0.47302580140735 0.547403634151905 0.384644972690207 0.24928092042186
"его" 0.169625246548323 0.268200722975862 0.267465069860279 0.265407283088092 0.250337757291584 0.239520958083832 0.285033774549998 0.179568255455362 0.241431172326447 0.274026228224702 0.27883294269781 0.423197492163009 0.304480208786429 0.373368967143531 0.387535590003164 0.426085927328678 0.419821869972927 0.428843710292249 0.291731606921632 0.392981899015561 0.377502383222116 0.260987971858688 0.638093407649433 0.479287915097569 0.41089636280627 0.695828935538095 0.450254749397686 0.351466395907369 0.646197227226443 0.56217060316221 0.289390324977514 0.366820494616022 0.705656759348035 0.543666859456333 0.210214886328247 0.720422236776207 0.422204847537138 0.627233330799057 0.484652665589661 0.686481303930968
"так" 0.291913214990138 0.310957359972014 0.231536926147705 0.277116427930214 0.401335134705555 0.375249500998004 0.363125219632189 0.347425537728852 0.34037837409958 0.340575455079272 0.230340257011234 0.329153605015674 0.185851556012496 0.168998585128125 0.217494463777286 0.224878683867913 0.137324910738808 0.194567979669632 0.163849258682013 0.242140362019689 0.526215443279314 0.62031923746123 0.392081491447242 0.532542127886188 0.452746918277279 0.461279856143231 0.391010703424306 0.472527043386574 0.450379885642673 0.409916064805778 0.531852489147863 0.560091507908334 0.563758389261745 0.728744939271255 0.400965431329804 0.48541819162461 0.559030492572322 0.581616361286398 0.546195861220094 0.456375838926175
"меня" 0.528599605522682 0.314844326971664 0.387225548902196 0.456656648842746 0.31788921560836 0.499001996007984 0.327984069345203 0.300581645001366 0.558062218000475 0.317087492660012 0.51725531399014 0.372257053291536 0.518011783779509 0.42053136299324 0.664346725719709 0.508935968753699 0.372739043433907 0.337515883100381 0.399632338248811 0.448555096856145 0.247855100095329 0.639231409335048 0.292139150490102 0.346152383126022 0.201643585451225 0.707556389507838 0.541095619890201 0.421759675088843 0.481710660296076 0.55045871559633 0.0938563216143287 0.496982605608804 0.283796740172579 0.215924426450742 0.264715042042977 0.146395962553454 0.211102423768569 0.155857979168251 0.153857989076083 0.126558005752637
"мне" 0.516765285996055 0.182687448983558 0.506986027944112 0.523008469614769 0.286100294047524 0.479041916167665 0.304556635820546 0.316196275910528 0.411620359376237 0.344490115482482 0.45663945688192 0.360501567398119 0.561508956463284 0.334066970602107 0.470578930718127 0.406359726989387 0.427669007729431 0.401048284625159 0.383647044718859 0.428707526198793 0.297426120114395 0.695967924956502 0.330578512396694 0.38038723420442 0.159793029980216 0.672374027598608 0.564793238279553 0.288983481079392 0.38380198950419 0.433339839937537 0.144695162488757 0.429929396915552 0.295302013422819 0.200501253132832 0.237464964185612 0.219593943830181 0.238467552775606 0.18626929217669 0.176936687437495 0.115052732502397
"ее" 0.477317554240631 0.326505227970615 0.339321357285429 0.374692634947894 0.214575220535643 0.499001996007984 0.230369762992464 0.366943826365304 0.269136388822924 0.328831473869642 0.234381314151782 0.352664576802508 0.280754478231642 0.294764974060682 0.3044922492882 0.335345405767941 0.368815474555656 0.405019059720457 0.367661751188906 0.428707526198793 0.259294566253575 0.33663665935396 0.319046703824717 0.365171744836243 0.251103332826054 0.3440053164458 0.201429756309491 0.171828015776936 0.38380198950419 0.156158500878392 0.582691330022291 0.41415217134067 0.425695110258869 0.227491806439175 0.63064465898474 0.296644450437262 0.00781860828772478 0.444765452748422 0.580813908762213 0.395014381591563
"от" 0.335305719921105 0.303183425972713 0.359281437125749 0.409820069474259 0.349678137169197 0.211576846307385 0.277224630041779 0.284967014092204 0.383915142879759 0.352319436288902 0.242463428432878 0.36833855799373 0.363794535173396 0.345857569564534 0.296583359696299 0.276166804750069 0.400204025581669 0.289866581956798 0.371658074571394 0.273896475071451 0.278360343183985 0.215598759361525 0.269075533346146 0.292898170337403 0.262517120681784 0.301004651890075 0.248824993088195 0.312414574139884 0.278060625048954 0.347452664454421 0.351961206053733 0.323433124285094 0.402684563758389 0.397146712936187 0.210214886328247 0.312054551758678 0.289288506645817 0.353531513723105 0.338487575967382 0.322147651006711
"же" 0.370808678500986 0.380922765965717 0.307385229540918 0.249795089965263 0.385440673925137 0.327345309381238 0.464644098239038 0.359136510910723 0.269136388822924 0.238794284595811 0.303079285541098 0.270376175548589 0.162125825457709 0.200440182361264 0.225403353369187 0.118357202035744 0.125554204104053 0.17074332909784 0.215801462654358 0.150841536995872 0.388941849380362 0.400938043724941 0.472804151451086 0.391798851230553 0.40328717090245 0.281458895273836 0.240925786958411 0.253836841488655 0.258478890890577 0.230333788795628 0.445817527668061 0.280045753954167 0.387344199424736 0.547522652785811 0.272500778573653 0.254266671803367 0.246286161063331 0.304113130084391 0.276944380336949 0.241610738255034
"да" 0.256410256410256 0.22933105297936 0.315369261477046 0.163928027789704 0.345704521974092 0.335329341317365 0.331888641599313 0.316196275910528 0.308715269532178 0.344490115482482 0.363695142649317 0.266457680250784 0.146308671754518 0.196509982707122 0.264947801328693 0.205152483528623 0.125554204104053 0.381194409148666 0.219797786036846 0.289774531597332 0.278360343183985 0.366896134352069 0.230636171439554 0.26246719160105 0.300563080200883 0.289277197920332 0.264623405347763 0.230405748428164 0.313307746534033 0.128830763224673 0.222908763834031 0.201159626079754 0.291466922339406 0.659340659340659 0.346465275615073 0.288939399776554 0.418295543393276 0.361134341975215 0.380798522963305 0.168744007670182
"вы" 0.406311637080868 0.206009250981459 0.307385229540918 0.300534717614457 0.258284987681793 0.407185628742515 0.136660028893835 0.214701175000976 0.237473284255521 0.234879624192601 0.396023599773701 0.403605015673981 0.332160227767013 0.196509982707122 0.328218918063904 0.351126366039373 0.294267665868874 0.420902160101652 0.603444830755705 0.428707526198793 0.266920877025739 0.132385203116726 0.39976936382856 0.270074936285138 0.201643585451225 0.0977287830811931 0.355464275840278 0.167922833600187 0.325056787029059 0.18348623853211 0.17989128309413 0.169605174929989 0.0805369127516778 0.239059186427607 0.218000622858922 0.36213738105328 0.351837372947615 0.239489089941458 0.361566274328795 0.191754554170662
