id,автор,название,серия,series_code,год,series_slug,имя_файла,путь_исходник,путь
viola_004,Дарья Донцова,Урожай ядовитых ягодок,Виола Тараканова,ВТ,2002,viola,ВТ_Урожай ядовитых ягодок.txt,txt ВиолаТараканова/04 Урожай ядовитых ягодок.txt,viola/ВТ_Урожай ядовитых ягодок.txt
viola_031,Дарья Донцова,Фанатка голого короля,Виола Тараканова,ВТ,2012,viola,ВТ_Фанатка голого короля.txt,txt ВиолаТараканова/31 Фанатка голого короля.txt,viola/ВТ_Фанатка голого короля.txt
viola_025,Дарья Донцова,Фея с золотыми зубами,Виола Тараканова,ВТ,2010,viola,ВТ_Фея с золотыми зубами.txt,txt ВиолаТараканова/25 Фея с золотыми зубами.txt,viola/ВТ_Фея с золотыми зубами.txt
viola_008,Дарья Донцова,Филе из Золотого Петушка,Виола Тараканова,ВТ,2004,viola,ВТ_Филе из Золотого Петушка.txt,txt ВиолаТараканова/08 Филе из Золотого Петушка.txt,viola/ВТ_Филе из Золотого Петушка.txt
viola_011,Дарья Донцова,Фокус-покус от Василисы Ужасной,Виола Тараканова,ВТ,2004,viola,ВТ_Фокус-покус от Василисы Ужасной.txt,txt ВиолаТараканова/11 Фокус-покус от Василисы Ужасной.txt,viola/ВТ_Фокус-покус от Василисы Ужасной.txt
viola_019,Дарья Донцова,Хеппи-энд для Дездемоны,Виола Тараканова,ВТ,2007,viola,ВТ_Хеппи-энд для Дездемоны.txt,txt ВиолаТараканова/19 Хеппи-энд для Дездемоны.txt,viola/ВТ_Хеппи-энд для Дездемоны.txt
viola_023,Дарья Донцова,Человек-невидимка в стразах,Виола Тараканова,ВТ,2009,viola,ВТ_Человек-невидимка в стразах.txt,txt ВиолаТараканова/23 Человек-невидимка в стразах.txt,viola/ВТ_Человек-невидимка в стразах.txt
viola_001,Дарья Донцова,Черт из табакерки,Виола Тараканова,ВТ,2001,viola,ВТ_Черт из табакерки.txt,txt ВиолаТараканова/01 Черт из табакерки.txt,viola/ВТ_Черт из табакерки.txt
viola_005,Дарья Донцова,Чудеса в кастрюльке,Виола Тараканова,ВТ,2002,viola,ВТ_Чудеса в кастрюльке.txt,txt ВиолаТараканова/05 Чудеса в кастрюльке.txt,viola/ВТ_Чудеса в кастрюльке.txt
viola_003,Дарья Донцова,Чудовище без красавицы,Виола Тараканова,ВТ,2001,viola,ВТ_Чудовище без красавицы.txt,txt ВиолаТараканова/03 Чудовище без красавицы.txt,viola/ВТ_Чудовище без красавицы.txt
dasha_065,Дарья Донцова,Аллергия на кота Базилио,Даша Васильева,ДВ,2021,dasha,ДВ_Аллергия на кота Базилио.txt,txt ДашаВасильева/64 Аллергия на кота Базилио.txt,dasha/ДВ_Аллергия на кота Базилио.txt
dasha_069,Дарья Донцова,Ананас на ёлке,Даша Васильева,ДВ,2023,dasha,ДВ_Ананас на ёлке.txt,txt ДашаВасильева/68 Ананас на ёлке.txt,dasha/ДВ_Ананас на ёлке.txt
dasha_049,Дарья Донцова,Аполлон на миллион,Даша Васильева,ДВ,2015,dasha,ДВ_Аполлон на миллион.txt,txt ДашаВасильева/48 Аполлон на миллион.txt,dasha/ДВ_Аполлон на миллион.txt
dasha_010,Дарья Донцова,Бассейн с крокодилами,Даша Васильева,ДВ,2000,dasha,ДВ_Бассейн с крокодилами.txt,txt ДашаВасильева/09 Бассейн с крокодилами.txt,dasha/ДВ_Бассейн с крокодилами.txt
