Source,Target,Weight,Type
marinina__35_Отдаленные_последствия._Том_1,marinina__21_Седьмая_жертва,4,undirected
marinina__35_Отдаленные_последствия._Том_1,traub__Маша_Трауб_-_Продаётся_дом_с_дедушкой_-_2016,1,undirected
marinina__35_Отдаленные_последствия._Том_1,ustinova__Персональный_ангел,3,undirected
polyakova__Татьяна_Полякова_-_01._Испанская_легенда_(2008),marinina__05_Смерть_ради_смерти,1,undirected
polyakova__Татьяна_Полякова_-_01._Испанская_легенда_(2008),polyakova__Татьяна_Полякова_-_05._Четыре_всадника_раздора_(2020),4,undirected
polyakova__Татьяна_Полякова_-_01._Испанская_легенда_(2008),polyakova__Татьяна_Полякова_-_05._Я_смотрю_на_тебя_издали_(2012),4,undirected
polyakova__Татьяна_Полякова_-_01._Капкан_на_спонсора_(1999),polyakova__Татьяна_Полякова_-_04._Неопознанный_ходячий_объект_(2001),4,undirected
polyakova__Татьяна_Полякова_-_01._Капкан_на_спонсора_(1999),polyakova__Татьяна_Полякова_-_05._Четыре_всадника_раздора_(2020),2,undirected
polyakova__Татьяна_Полякова_-_01._Капкан_на_спонсора_(1999),polyakova__Татьяна_Полякова_-_05._Я_смотрю_на_тебя_издали_(2012),5,undirected
polyakova__Татьяна_Полякова_-_04._Неопознанный_ходячий_объект_(2001),polyakova__Татьяна_Полякова_-_01._Капкан_на_спонсора_(1999),4,undirected
polyakova__Татьяна_Полякова_-_04._Неопознанный_ходячий_объект_(2001),polyakova__Татьяна_Полякова_-_05._Четыре_всадника_раздора_(2020),1,undirected
polyakova__Татьяна_Полякова_-_04._Неопознанный_ходячий_объект_(2001),polyakova__Татьяна_Полякова_-_05._Я_смотрю_на_тебя_издали_(2012),3,undirected
polyakova__Татьяна_Полякова_-_05._Четыре_всадника_раздора_(2020),polyakova__Татьяна_Полякова_-_01._Испанская_легенда_(2008),4,undirected
polyakova__Татьяна_Полякова_-_05._Четыре_всадника_раздора_(2020),polyakova__Татьяна_Полякова_-_01._Капкан_на_спонсора_(1999),2,undirected
polyakova__Татьяна_Полякова_-_05._Четыре_всадника_раздора_(2020),polyakova__Татьяна_Полякова_-_04._Неопознанный_ходячий_объект_(2001),1,undirected
polyakova__Татьяна_Полякова_-_05._Четыре_всадника_раздора_(2020),polyakova__Татьяна_Полякова_-_05._Я_смотрю_на_тебя_издали_(2012),6,undirected
polyakova__Татьяна_Полякова_-_05._Я_смотрю_на_тебя_издали_(2012),polyakova__Татьяна_Полякова_-_01._Испанская_легенда_(2008),4,undirected
polyakova__Татьяна_Полякова_-_05._Я_смотрю_на_тебя_издали_(2012),polyakova__Татьяна_Полякова_-_01._Капкан_на_спонсора_(1999),5,undirected
polyakova__Татьяна_Полякова_-_05._Я_смотрю_на_тебя_издали_(2012),polyakova__Татьяна_Полякова_-_04._Неопознанный_ходячий_объект_(2001),3,undirected
polyakova__Татьяна_Полякова_-_05._Я_смотрю_на_тебя_издали_(2012),polyakova__Татьяна_Полякова_-_05._Четыре_всадника_раздора_(2020),6,undirected
traub__Маша_Трауб_-_Замочная_скважина_-_2012,traub__Маша_Трауб_-_Плохая_мать_-_2010,6,undirected
traub__Маша_Трауб_-_Замочная_скважина_-_2012,traub__Маша_Трауб_-_Собирайся,_мы_уезжаем_-_2006,3,undirected
traub__Маша_Трауб_-_Замочная_скважина_-_2012,ustinova__Персональный_ангел,2,undirected
traub__Маша_Трауб_-_Плохая_мать_-_2010,marinina__21_Седьмая_жертва,1,undirected
traub__Маша_Трауб_-_Плохая_мать_-_2010,traub__Маша_Трауб_-_Замочная_скважина_-_2012,6,undirected
traub__Маша_Трауб_-_Плохая_мать_-_2010,traub__Маша_Трауб_-_Посмотри_на_меня_-_2021,3,undirected
traub__Маша_Трауб_-_Плохая_мать_-_2010,traub__Маша_Трауб_-_Собирайся,_мы_уезжаем_-_2006,5,undirected
traub__Маша_Трауб_-_Посмотри_на_меня_-_2021,marinina__03_Оборванные_нити,2,undirected
traub__Маша_Трауб_-_Посмотри_на_меня_-_2021,traub__Маша_Трауб_-_Плохая_мать_-_2010,3,undirected
traub__Маша_Трауб_-_Посмотри_на_меня_-_2021,traub__Маша_Трауб_-_Продаётся_дом_с_дедушкой_-_2016,1,undirected
traub__Маша_Трауб_-_Продаётся_дом_с_дедушкой_-_2016,marinina__03_Оборванные_нити,3,undirected
traub__Маша_Трауб_-_Продаётся_дом_с_дедушкой_-_2016,marinina__35_Отдаленные_последствия._Том_1,1,undirected
traub__Маша_Трауб_-_Продаётся_дом_с_дедушкой_-_2016,traub__Маша_Трауб_-_Посмотри_на_меня_-_2021,1,undirected
traub__Маша_Трауб_-_Продаётся_дом_с_дедушкой_-_2016,ustinova__Жизнь,_по_слухам,_одна!,2,undirected
traub__Маша_Трауб_-_Собирайся,_мы_уезжаем_-_2006,traub__Маша_Трауб_-_Замочная_скважина_-_2012,3,undirected
traub__Маша_Трауб_-_Собирайся,_мы_уезжаем_-_2006,traub__Маша_Трауб_-_Плохая_мать_-_2010,5,undirected
traub__Маша_Трауб_-_Собирайся,_мы_уезжаем_-_2006,ustinova__Девчонки,_я_приехал!,1,undirected
ustinova__Близкие_люди,ustinova__Жизнь,_по_слухам,_одна!,4,undirected
ustinova__Близкие_люди,ustinova__Один_день,_одна_ночь,2,undirected
ustinova__Близкие_люди,ustinova__Персональный_ангел,4,undirected
ustinova__Девчонки,_я_приехал!,dontsova__06_Созвездие_жадных_псов,1,undirected
