автор,название,серия,год,папка,имя_файла,conllu_cache,Number of Sentences,Number of Words,Number of Clauses,Mean Sentence Length,Mean Clause Length,Mean Number of Clauses per Sentence,Mean Tree Depth,Median Tree Depth,Minimum Tree Depth,Maximum Tree Depth,Mean Dependency Distance,Node-to-Terminal-Node Ratio,Average Levenshtein Distance between POS,Average Levenshtein Distance between deprel,Average NP Length,Complex NP Ratio,Number of Combined Clauses,Number of Coordinate Clauses,Number of Subordinate Clauses,Coordinate to Combined Clause Ratio,Subordinate to Combined Clause Ratio,Coordinate to Subordinate Clause Ratio,Coordinate Clause to Sentence Ratio,Subordinate Clause to Sentence Ratio,root_ratio,acl_ratio,acl:relcl_ratio,advcl_ratio,advcl:relcl_ratio,ccomp_ratio,csubj_ratio,csubj:outer_ratio,nsubj:outer_ratio,parataxis_ratio,xcomp_ratio,conj_ratio,__compute_seconds__
Дарья Донцова,Кнопка управления мужем,Виола Тараканова,2013,viola,ВТ_Кнопка управления мужем.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Кнопка управления мужем.txt.russian-syntagrus-ud-2.12-230717.conllu,3799,36804,9203,9.69,4.0,2.42,4.04,4.0,2,12,2.71,1.8,9.6,11.28,1.69,0.46,5404,3252,2152,0.6,0.4,1.51,0.86,0.57,0.4128001738563512,0.029338259263283713,0.02412256872758883,0.048679778333152235,0.0,0.03737911550581332,0.026947734434423557,0.0,0.0,0.1565793762903401,0.0673693360860589,0.19678365750298815,6.53
Дарья Донцова,Козлёнок Алёнушка,Виола Тараканова,2021,viola,ВТ_Козлёнок Алёнушка.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Козлёнок Алёнушка.txt.russian-syntagrus-ud-2.12-230717.conllu,4524,36767,9755,8.13,3.77,2.16,3.72,3.0,2,11,2.64,1.8,9.07,8.96,1.63,0.43,5231,3264,1967,0.62,0.38,1.66,0.72,0.43,0.46376217324449,0.012096360840594567,0.028088159917990775,0.03874935930292158,0.0,0.035366478728856995,0.02378267555099949,0.0,0.0,0.15612506406970783,0.06355715017939519,0.17847257816504355,6.12
Дарья Донцова,Концерт для колобка с оркестром,Виола Тараканова,2004,viola,ВТ_Концерт для колобка с оркестром.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Концерт для колобка с оркестром.txt.russian-syntagrus-ud-2.12-230717.conllu,4041,36866,9878,9.12,3.73,2.44,3.83,4.0,2,12,2.84,1.79,9.64,9.64,1.62,0.43,5837,3817,2020,0.65,0.35,1.89,0.94,0.5,0.4090909090909091,0.024498886414253896,0.015488965377606804,0.05648916784774246,0.0,0.025612472160356347,0.0243976513464264,0.0,0.0,0.16268475399878518,0.05800769386515489,0.22372949989876492,6.46
Дарья Донцова,Край непуганых Буратино,Виола Тараканова,2021,viola,ВТ_Край непуганых Буратино.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Край непуганых Буратино.txt.russian-syntagrus-ud-2.12-230717.conllu,4533,36811,9938,8.12,3.7,2.19,3.73,3.0,2,11,2.65,1.81,8.75,8.1,1.6,0.41,5405,3533,1872,0.65,0.35,1.89,0.78,0.41,0.45612799356007244,0.012678607365667137,0.024652847655463876,0.03451398671764943,0.0,0.03582209700140873,0.023646608975649023,0.0,0.0,0.16150130811028376,0.05705373314550211,0.19400281746830347,6.01
Дарья Донцова,Летучий самозванец,Виола Тараканова,2009,viola,ВТ_Летучий самозванец.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Летучий самозванец.txt.russian-syntagrus-ud-2.12-230717.conllu,4150,37003,9902,8.92,3.74,2.39,3.89,4.0,2,12,2.61,1.83,9.34,9.39,1.6,0.42,5752,3752,2000,0.65,0.35,1.88,0.9,0.48,0.4191072510603918,0.025954352656029085,0.01565340335285801,0.046051302767117754,0.0,0.024742476267420724,0.025853362956978387,0.0,0.0,0.18854776812765098,0.06372450010098969,0.19036558271056353,6.35
Дарья Донцова,Лобстер для Емели,Виола Тараканова,2023,viola,ВТ_Лобстер для Емели.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Лобстер для Емели.txt.russian-syntagrus-ud-2.12-230717.conllu,4512,36815,9698,8.16,3.8,2.15,3.77,4.0,2,12,2.58,1.81,9.64,9.01,1.65,0.44,5186,3095,2091,0.6,0.4,1.48,0.69,0.46,0.4652505671272427,0.014539080222726335,0.03010930088678078,0.03866776654980408,0.0,0.04093627552072592,0.02320065992988245,0.0,0.0,0.1487935656836461,0.068158383171788,0.17034440090740358,6.11
Дарья Донцова,Любимые забавы папы Карло,Виола Тараканова,2004,viola,ВТ_Любимые забавы папы Карло.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Любимые забавы папы Карло.txt.russian-syntagrus-ud-2.12-230717.conllu,4071,36850,9714,9.05,3.79,2.39,3.81,4.0,2,11,2.83,1.79,10.0,11.15,1.61,0.42,5643,3748,1895,0.66,0.34,1.98,0.92,0.47,0.41908585546633725,0.0254272184476014,0.011838583487749639,0.048074943380687664,0.0,0.028515544574840436,0.02388305538398188,0.0,0.0,0.17366687255507515,0.05733992176240477,0.2121680049413218,6.63
Дарья Донцова,Магия госпожи Метелицы,Виола Тараканова,2015,viola,ВТ_Магия госпожи Метелицы.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Магия госпожи Метелицы.txt.russian-syntagrus-ud-2.12-230717.conllu,3583,36826,9264,10.28,3.98,2.59,4.09,4.0,2,18,2.82,1.83,11.59,12.21,1.65,0.43,5681,3628,2053,0.64,0.36,1.77,1.01,0.57,0.38676597582037997,0.021157167530224525,0.020077720207253884,0.045552677029360965,0.0,0.038968048359240066,0.026446459412780655,0.0,0.0,0.14853195164075994,0.06940846286701209,0.24309153713298792,6.82
Дарья Донцова,Микстура от косоглазия,Виола Тараканова,2003,viola,ВТ_Микстура от косоглазия.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Микстура от косоглазия.txt.russian-syntagrus-ud-2.12-230717.conllu,4138,36824,9966,8.9,3.69,2.41,3.83,4.0,2,12,2.78,1.8,9.26,10.02,1.6,0.41,5828,3896,1932,0.67,0.33,2.02,0.94,0.47,0.41521171984748145,0.026490066225165563,0.011137868753762794,0.05137467389123018,0.0,0.02659040738510937,0.024683925346177003,0.0,0.0,0.1760987357013847,0.05358217940999398,0.21483042343969497,6.44
Дарья Донцова,Милашка на вираже,Виола Тараканова,2020,viola,ВТ_Милашка на вираже.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Милашка на вираже.txt.russian-syntagrus-ud-2.12-230717.conllu,4651,36786,9816,7.91,3.75,2.11,3.67,3.0,2,12,2.62,1.81,9.04,8.36,1.62,0.42,5165,3251,1914,0.63,0.37,1.7,0.7,0.41,0.47381825590872045,0.014058679706601468,0.026385493072534637,0.03973105134474328,0.0,0.036572942135289326,0.02169926650366748,0.0,0.0,0.14731051344743276,0.056540342298288505,0.1838834555827221,6.68
